name,url,is_premium,from #player,to #player,duration (mins),complexity
thatslife,https://boardgamearena.com/gamepanel?game=thatslife,False,2,6,14,1
trickoftherails,https://boardgamearena.com/gamepanel?game=trickoftherails,False,3,5,18,2
dicesummoners,https://boardgamearena.com/gamepanel?game=dicesummoners,False,2,2,28,2
automobiles,https://boardgamearena.com/gamepanel?game=automobiles,False,2,5,41,2
quinque,https://boardgamearena.com/gamepanel?game=quinque,False,2,2,7,1
mattock,https://boardgamearena.com/gamepanel?game=mattock,False,2,2,8,2
caravan,https://boardgamearena.com/gamepanel?game=caravan,False,2,4,33,2
bug,https://boardgamearena.com/gamepanel?game=bug,False,2,2,4,3
rolledwest,https://boardgamearena.com/gamepanel?game=rolledwest,False,2,4,13,1
fistfulofgold,https://boardgamearena.com/gamepanel?game=fistfulofgold,False,2,2,5,1
codexnaturalis,https://boardgamearena.com/gamepanel?game=codexnaturalis,True,2,4,15,2
emdomicrocosm,https://boardgamearena.com/gamepanel?game=emdomicrocosm,False,2,2,17,1
iwari,https://boardgamearena.com/gamepanel?game=iwari,True,2,5,33,2
meadow,https://boardgamearena.com/gamepanel?game=meadow,False,2,2,18,3
thirteenclues,https://boardgamearena.com/gamepanel?game=thirteenclues,False,2,6,11,2
solarstorm,https://boardgamearena.com/gamepanel?game=solarstorm,False,2,4,31,2
grandbazaar,https://boardgamearena.com/gamepanel?game=grandbazaar,False,2,7,31,0
fluxx,https://boardgamearena.com/gamepanel?game=fluxx,False,2,6,7,2
pingimus,https://boardgamearena.com/gamepanel?game=pingimus,True,3,12,23,0
hoarders,https://boardgamearena.com/gamepanel?game=hoarders,False,3,6,8,1
vultureculture,https://boardgamearena.com/gamepanel?game=vultureculture,False,2,5,4,1
herrlof,https://boardgamearena.com/gamepanel?game=herrlof,False,2,3,28,1
chinesecheckers,https://boardgamearena.com/gamepanel?game=chinesecheckers,False,2,6,19,1
handandfoot,https://boardgamearena.com/gamepanel?game=handandfoot,False,2,12,52,3
pandemic,https://boardgamearena.com/gamepanel?game=pandemic,True,1,4,22,2
sobektwoplayers,https://boardgamearena.com/gamepanel?game=sobektwoplayers,True,2,2,11,2
morocco,https://boardgamearena.com/gamepanel?game=morocco,True,2,5,55,3
themotherroad,https://boardgamearena.com/gamepanel?game=themotherroad,True,2,4,15,2
rainbow,https://boardgamearena.com/gamepanel?game=rainbow,False,2,2,11,1
scopa,https://boardgamearena.com/gamepanel?game=scopa,False,2,6,18,2
pyrgos,https://boardgamearena.com/gamepanel?game=pyrgos,False,2,2,6,2
zooloretto,https://boardgamearena.com/gamepanel?game=zooloretto,False,2,5,28,2
baolakiswahili,https://boardgamearena.com/gamepanel?game=baolakiswahili,False,2,2,13,5
volfyirion,https://boardgamearena.com/gamepanel?game=volfyirion,False,2,2,32,3
egocentricworld,https://boardgamearena.com/gamepanel?game=egocentricworld,False,2,6,18,1
tumbleweed,https://boardgamearena.com/gamepanel?game=tumbleweed,False,2,2,14,3
imtheboss,https://boardgamearena.com/gamepanel?game=imtheboss,True,3,6,33,2
samarkand,https://boardgamearena.com/gamepanel?game=samarkand,True,2,5,31,2
steamrollers,https://boardgamearena.com/gamepanel?game=steamrollers,False,1,5,16,2
epizodiak,https://boardgamearena.com/gamepanel?game=epizodiak,False,3,3,15,1
ladyandthetiger,https://boardgamearena.com/gamepanel?game=ladyandthetiger,False,2,2,8,1
thrive,https://boardgamearena.com/gamepanel?game=thrive,False,2,2,20,3
factum,https://boardgamearena.com/gamepanel?game=factum,False,4,12,42,1
mercadodelisboaste,https://boardgamearena.com/gamepanel?game=mercadodelisboaste,True,2,4,22,2
buyword,https://boardgamearena.com/gamepanel?game=buyword,True,1,4,18,2
cantstopexpress,https://boardgamearena.com/gamepanel?game=cantstopexpress,True,1,4,6,1
pente,https://boardgamearena.com/gamepanel?game=pente,False,2,4,5,1
pyramidpoker,https://boardgamearena.com/gamepanel?game=pyramidpoker,True,2,2,13,2
mascarade,https://boardgamearena.com/gamepanel?game=mascarade,False,4,12,20,2
ladyschoice,https://boardgamearena.com/gamepanel?game=ladyschoice,False,2,6,8,2
artdecko,https://boardgamearena.com/gamepanel?game=artdecko,False,2,4,36,2
ultimaterailroads,https://boardgamearena.com/gamepanel?game=ultimaterailroads,False,2,4,85,4
queenskings,https://boardgamearena.com/gamepanel?game=queenskings,False,2,4,24,3
starfluxx,https://boardgamearena.com/gamepanel?game=starfluxx,False,2,6,12,2
faifo,https://boardgamearena.com/gamepanel?game=faifo,False,3,5,16,1
bossquest,https://boardgamearena.com/gamepanel?game=bossquest,False,2,5,9,2
evl,https://boardgamearena.com/gamepanel?game=evl,False,2,2,12,2
cloudcity,https://boardgamearena.com/gamepanel?game=cloudcity,False,1,4,16,1
guile,https://boardgamearena.com/gamepanel?game=guile,False,2,2,11,1
simplicity,https://boardgamearena.com/gamepanel?game=simplicity,False,2,6,14,3
senshi,https://boardgamearena.com/gamepanel?game=senshi,False,2,4,13,3
forex,https://boardgamearena.com/gamepanel?game=forex,False,2,6,53,4
dicedtomatoes,https://boardgamearena.com/gamepanel?game=dicedtomatoes,False,1,6,19,2
canosa,https://boardgamearena.com/gamepanel?game=canosa,False,2,2,13,1
linkage,https://boardgamearena.com/gamepanel?game=linkage,False,2,2,6,1
bang,https://boardgamearena.com/gamepanel?game=bang,False,2,7,17,3
liverpoolrummy,https://boardgamearena.com/gamepanel?game=liverpoolrummy,False,2,16,39,2
uptown,https://boardgamearena.com/gamepanel?game=uptown,False,3,5,18,1
harbour,https://boardgamearena.com/gamepanel?game=harbour,False,1,4,33,2
sheepboombah,https://boardgamearena.com/gamepanel?game=sheepboombah,False,2,4,18,2
lineae,https://boardgamearena.com/gamepanel?game=lineae,False,1,5,18,3
president,https://boardgamearena.com/gamepanel?game=president,False,4,8,25,1
roomtwentyfive,https://boardgamearena.com/gamepanel?game=roomtwentyfive,False,1,6,22,2
eminentdomain,https://boardgamearena.com/gamepanel?game=eminentdomain,False,2,5,35,3
seasons,https://boardgamearena.com/gamepanel?game=seasons,False,2,4,19,3
puertorico,https://boardgamearena.com/gamepanel?game=puertorico,True,2,5,28,4
beyondthesun,https://boardgamearena.com/gamepanel?game=beyondthesun,True,2,4,53,3
throughtheagesnewstory,https://boardgamearena.com/gamepanel?game=throughtheagesnewstory,False,2,4,40,5
tzolkin,https://boardgamearena.com/gamepanel?game=tzolkin,False,2,4,38,4
russianrailroads,https://boardgamearena.com/gamepanel?game=russianrailroads,False,2,4,49,4
yokohama,https://boardgamearena.com/gamepanel?game=yokohama,False,2,4,61,3
carnegie,https://boardgamearena.com/gamepanel?game=carnegie,False,1,4,68,4
caylus,https://boardgamearena.com/gamepanel?game=caylus,False,2,5,54,4
keyflower,https://boardgamearena.com/gamepanel?game=keyflower,False,2,6,63,4
cityofthebigshoulders,https://boardgamearena.com/gamepanel?game=cityofthebigshoulders,False,2,4,93,5
dungeonpetz,https://boardgamearena.com/gamepanel?game=dungeonpetz,False,2,4,74,5
troyes,https://boardgamearena.com/gamepanel?game=troyes,False,2,4,38,4
libertalia,https://boardgamearena.com/gamepanel?game=libertalia,False,2,6,20,3
signorie,https://boardgamearena.com/gamepanel?game=signorie,False,2,4,63,4
intheyearofthedragon,https://boardgamearena.com/gamepanel?game=intheyearofthedragon,False,2,5,24,3
throughtheages,https://boardgamearena.com/gamepanel?game=throughtheages,False,2,4,55,5
nippon,https://boardgamearena.com/gamepanel?game=nippon,False,2,4,71,4
northwestpassage,https://boardgamearena.com/gamepanel?game=northwestpassage,False,2,4,56,3
spyrium,https://boardgamearena.com/gamepanel?game=spyrium,False,2,5,41,3
gosu,https://boardgamearena.com/gamepanel?game=gosu,False,2,4,20,2
amyitis,https://boardgamearena.com/gamepanel?game=amyitis,False,2,4,56,3
tournay,https://boardgamearena.com/gamepanel?game=tournay,False,2,4,33,3
unconditionalsurrender,https://boardgamearena.com/gamepanel?game=unconditionalsurrender,False,1,3,17,5
polis,https://boardgamearena.com/gamepanel?game=polis,False,2,2,76,5
madeira,https://boardgamearena.com/gamepanel?game=madeira,False,2,4,73,4
darkagent,https://boardgamearena.com/gamepanel?game=darkagent,False,1,6,25,5
ruhr,https://boardgamearena.com/gamepanel?game=ruhr,False,2,4,163,4
gearnpiston,https://boardgamearena.com/gamepanel?game=gearnpiston,False,2,6,39,2
stoneage,https://boardgamearena.com/gamepanel?game=stoneage,False,2,5,25,3
resarcana,https://boardgamearena.com/gamepanel?game=resarcana,True,2,5,27,3
cubirds,https://boardgamearena.com/gamepanel?game=cubirds,False,2,5,7,1
innovation,https://boardgamearena.com/gamepanel?game=innovation,False,2,4,14,4
rollforthegalaxy,https://boardgamearena.com/gamepanel?game=rollforthegalaxy,True,2,5,16,2
nidavellir,https://boardgamearena.com/gamepanel?game=nidavellir,True,2,5,24,2
carcassonnehuntersandgatherers,https://boardgamearena.com/gamepanel?game=carcassonnehuntersandgatherers,True,2,5,28,1
clansofcaledonia,https://boardgamearena.com/gamepanel?game=clansofcaledonia,True,1,4,38,4
marcopolotwo,https://boardgamearena.com/gamepanel?game=marcopolotwo,True,2,4,58,3
tokaido,https://boardgamearena.com/gamepanel?game=tokaido,False,2,5,19,2
teotihuacan,https://boardgamearena.com/gamepanel?game=teotihuacan,False,2,4,45,3
marcopolo,https://boardgamearena.com/gamepanel?game=marcopolo,False,2,4,31,3
abyss,https://boardgamearena.com/gamepanel?game=abyss,True,2,4,23,3
targi,https://boardgamearena.com/gamepanel?game=targi,False,2,2,26,3
oriflamme,https://boardgamearena.com/gamepanel?game=oriflamme,False,3,5,10,2
quantum,https://boardgamearena.com/gamepanel?game=quantum,False,2,4,48,2
lagranja,https://boardgamearena.com/gamepanel?game=lagranja,False,1,4,30,3
superfantasybrawl,https://boardgamearena.com/gamepanel?game=superfantasybrawl,False,2,2,28,3
dungeontwister,https://boardgamearena.com/gamepanel?game=dungeontwister,True,2,2,49,3
kingsguild,https://boardgamearena.com/gamepanel?game=kingsguild,False,1,6,36,3
lewisclark,https://boardgamearena.com/gamepanel?game=lewisclark,False,2,5,58,3
sapiens,https://boardgamearena.com/gamepanel?game=sapiens,False,2,4,32,2
tobago,https://boardgamearena.com/gamepanel?game=tobago,False,2,4,30,2
jekyllvshide,https://boardgamearena.com/gamepanel?game=jekyllvshide,False,2,2,10,2
carrara,https://boardgamearena.com/gamepanel?game=carrara,False,2,4,46,2
elfenland,https://boardgamearena.com/gamepanel?game=elfenland,False,2,6,32,3
notalone,https://boardgamearena.com/gamepanel?game=notalone,False,2,7,28,3
medina,https://boardgamearena.com/gamepanel?game=medina,True,2,4,47,2
kahuna,https://boardgamearena.com/gamepanel?game=kahuna,False,2,2,19,2
lox,https://boardgamearena.com/gamepanel?game=lox,False,3,5,57,3
blueskies,https://boardgamearena.com/gamepanel?game=blueskies,False,2,5,34,2
smallislands,https://boardgamearena.com/gamepanel?game=smallislands,False,2,4,42,2
timemasters,https://boardgamearena.com/gamepanel?game=timemasters,False,2,4,29,3
taluva,https://boardgamearena.com/gamepanel?game=taluva,False,2,5,22,2
hawaii,https://boardgamearena.com/gamepanel?game=hawaii,False,2,5,17,4
crazyfarmers,https://boardgamearena.com/gamepanel?game=crazyfarmers,False,2,4,21,2
battleforhill,https://boardgamearena.com/gamepanel?game=battleforhill,False,2,2,10,1
nangaparbat,https://boardgamearena.com/gamepanel?game=nangaparbat,False,2,2,26,3
inventors,https://boardgamearena.com/gamepanel?game=inventors,False,2,5,25,2
assyria,https://boardgamearena.com/gamepanel?game=assyria,False,2,4,43,3
khronos,https://boardgamearena.com/gamepanel?game=khronos,False,2,5,103,3
bombay,https://boardgamearena.com/gamepanel?game=bombay,False,2,5,25,2
k2,https://boardgamearena.com/gamepanel?game=k2,False,2,5,36,2
florenzacardgame,https://boardgamearena.com/gamepanel?game=florenzacardgame,False,2,4,26,3
dragonkeeper,https://boardgamearena.com/gamepanel?game=dragonkeeper,False,2,4,18,2
twintinbots,https://boardgamearena.com/gamepanel?game=twintinbots,False,2,6,44,2
pennypress,https://boardgamearena.com/gamepanel?game=pennypress,False,3,5,29,3
metromaniab,https://boardgamearena.com/gamepanel?game=metromaniab,False,2,4,23,1
thermopyles,https://boardgamearena.com/gamepanel?game=thermopyles,False,1,1,3,2
dragonline,https://boardgamearena.com/gamepanel?game=dragonline,False,2,2,9,2
kingdombuilder,https://boardgamearena.com/gamepanel?game=kingdombuilder,False,2,5,18,2
luckynumbers,https://boardgamearena.com/gamepanel?game=luckynumbers,False,2,4,5,1
lostcities,https://boardgamearena.com/gamepanel?game=lostcities,True,2,2,9,1
railroadink,https://boardgamearena.com/gamepanel?game=railroadink,True,1,12,9,2
diceforge,https://boardgamearena.com/gamepanel?game=diceforge,False,2,4,15,2
takenoko,https://boardgamearena.com/gamepanel?game=takenoko,True,2,4,19,2
sushigo,https://boardgamearena.com/gamepanel?game=sushigo,True,2,5,5,2
thecrew,https://boardgamearena.com/gamepanel?game=thecrew,True,3,5,32,2
alhambra,https://boardgamearena.com/gamepanel?game=alhambra,False,2,6,35,3
solo,https://boardgamearena.com/gamepanel?game=solo,False,2,10,12,1
loveletter,https://boardgamearena.com/gamepanel?game=loveletter,True,3,8,23,1
downforce,https://boardgamearena.com/gamepanel?game=downforce,True,2,6,24,2
tichu,https://boardgamearena.com/gamepanel?game=tichu,False,4,4,43,3
jaipur,https://boardgamearena.com/gamepanel?game=jaipur,True,2,2,13,2
chakra,https://boardgamearena.com/gamepanel?game=chakra,True,2,4,8,2
saintpetersburg,https://boardgamearena.com/gamepanel?game=saintpetersburg,False,2,4,17,2
papayoo,https://boardgamearena.com/gamepanel?game=papayoo,False,3,8,15,1
wizard,https://boardgamearena.com/gamepanel?game=wizard,False,3,6,26,3
ohhell,https://boardgamearena.com/gamepanel?game=ohhell,False,3,7,25,1
bandido,https://boardgamearena.com/gamepanel?game=bandido,False,1,4,7,1
cribbage,https://boardgamearena.com/gamepanel?game=cribbage,False,2,2,12,1
forsale,https://boardgamearena.com/gamepanel?game=forsale,True,3,6,8,1
draftosaurus,https://boardgamearena.com/gamepanel?game=draftosaurus,True,2,5,5,2
martiandice,https://boardgamearena.com/gamepanel?game=martiandice,False,2,10,7,0
piratenkapern,https://boardgamearena.com/gamepanel?game=piratenkapern,False,2,5,7,1
spades,https://boardgamearena.com/gamepanel?game=spades,False,4,4,36,2
rallymangt,https://boardgamearena.com/gamepanel?game=rallymangt,False,1,6,24,2
bubbleepop,https://boardgamearena.com/gamepanel?game=bubbleepop,False,2,2,12,1
saboteur,https://boardgamearena.com/gamepanel?game=saboteur,False,2,12,31,2
hardback,https://boardgamearena.com/gamepanel?game=hardback,False,1,5,29,2
incangold,https://boardgamearena.com/gamepanel?game=incangold,True,3,8,7,1
luxor,https://boardgamearena.com/gamepanel?game=luxor,False,2,4,14,2
lettertycoon,https://boardgamearena.com/gamepanel?game=lettertycoon,False,2,5,31,2
trektwelve,https://boardgamearena.com/gamepanel?game=trektwelve,True,1,8,6,0
viamagica,https://boardgamearena.com/gamepanel?game=viamagica,True,2,6,8,2
conspiracy,https://boardgamearena.com/gamepanel?game=conspiracy,True,2,4,6,3
thurnandtaxis,https://boardgamearena.com/gamepanel?game=thurnandtaxis,False,2,4,20,3
concept,https://boardgamearena.com/gamepanel?game=concept,False,2,12,44,3
werewolves,https://boardgamearena.com/gamepanel?game=werewolves,True,8,12,15,1
coloretto,https://boardgamearena.com/gamepanel?game=coloretto,False,3,5,11,1
marrakech,https://boardgamearena.com/gamepanel?game=marrakech,False,2,4,19,1
coltexpress,https://boardgamearena.com/gamepanel?game=coltexpress,False,2,6,20,2
tranquility,https://boardgamearena.com/gamepanel?game=tranquility,False,1,5,12,2
koikoi,https://boardgamearena.com/gamepanel?game=koikoi,False,2,2,9,2
haiclue,https://boardgamearena.com/gamepanel?game=haiclue,False,2,12,22,1
flamingpyramids,https://boardgamearena.com/gamepanel?game=flamingpyramids,False,2,6,12,1
pi,https://boardgamearena.com/gamepanel?game=pi,False,2,5,19,2
forbiddenisland,https://boardgamearena.com/gamepanel?game=forbiddenisland,True,2,4,28,2
happycity,https://boardgamearena.com/gamepanel?game=happycity,False,2,5,7,1
nothanks,https://boardgamearena.com/gamepanel?game=nothanks,False,3,7,7,1
thebuilders,https://boardgamearena.com/gamepanel?game=thebuilders,True,2,4,13,1
justdesserts,https://boardgamearena.com/gamepanel?game=justdesserts,False,2,5,9,1
coupcitystate,https://boardgamearena.com/gamepanel?game=coupcitystate,True,2,8,8,1
krosmasterarena,https://boardgamearena.com/gamepanel?game=krosmasterarena,True,2,2,34,3
dragonwood,https://boardgamearena.com/gamepanel?game=dragonwood,True,2,4,23,1
skull,https://boardgamearena.com/gamepanel?game=skull,False,3,6,9,0
cacao,https://boardgamearena.com/gamepanel?game=cacao,False,2,4,16,2
dungeonroll,https://boardgamearena.com/gamepanel?game=dungeonroll,False,1,4,12,2
dudo,https://boardgamearena.com/gamepanel?game=dudo,False,2,6,15,1
schroedingerscats,https://boardgamearena.com/gamepanel?game=schroedingerscats,False,2,6,8,1
redsevengame,https://boardgamearena.com/gamepanel?game=redsevengame,False,2,4,20,2
mrjack,https://boardgamearena.com/gamepanel?game=mrjack,True,2,2,15,3
buttons,https://boardgamearena.com/gamepanel?game=buttons,False,2,4,5,1
akeruption,https://boardgamearena.com/gamepanel?game=akeruption,False,2,6,49,2
splits,https://boardgamearena.com/gamepanel?game=splits,False,2,4,11,1
butterfly,https://boardgamearena.com/gamepanel?game=butterfly,False,2,5,6,1
quetzal,https://boardgamearena.com/gamepanel?game=quetzal,False,2,5,51,3
turnthetide,https://boardgamearena.com/gamepanel?game=turnthetide,True,3,6,18,2
welcometonewlasvegas,https://boardgamearena.com/gamepanel?game=welcometonewlasvegas,False,1,12,24,2
celestia,https://boardgamearena.com/gamepanel?game=celestia,False,4,6,25,1
battleship,https://boardgamearena.com/gamepanel?game=battleship,False,2,2,6,1
dragonheart,https://boardgamearena.com/gamepanel?game=dragonheart,False,2,2,4,2
boomerangaustralia,https://boardgamearena.com/gamepanel?game=boomerangaustralia,False,2,4,11,1
thebuildersantiquity,https://boardgamearena.com/gamepanel?game=thebuildersantiquity,True,2,4,17,1
icecoldicehockey,https://boardgamearena.com/gamepanel?game=icecoldicehockey,False,2,2,26,3
offtherails,https://boardgamearena.com/gamepanel?game=offtherails,False,1,4,25,2
skat,https://boardgamearena.com/gamepanel?game=skat,False,3,3,30,2
stirfryeighteen,https://boardgamearena.com/gamepanel?game=stirfryeighteen,True,2,5,12,1
theboss,https://boardgamearena.com/gamepanel?game=theboss,False,2,5,29,2
trekkingtheworld,https://boardgamearena.com/gamepanel?game=trekkingtheworld,False,2,5,27,2
fleet,https://boardgamearena.com/gamepanel?game=fleet,True,2,4,18,2
dragoncastle,https://boardgamearena.com/gamepanel?game=dragoncastle,False,2,4,40,2
palace,https://boardgamearena.com/gamepanel?game=palace,False,2,4,6,1
kami,https://boardgamearena.com/gamepanel?game=kami,False,2,4,16,2
mapmaker,https://boardgamearena.com/gamepanel?game=mapmaker,False,2,4,17,2
origin,https://boardgamearena.com/gamepanel?game=origin,False,2,4,37,2
marram,https://boardgamearena.com/gamepanel?game=marram,False,2,4,51,2
bigtimesoccer,https://boardgamearena.com/gamepanel?game=bigtimesoccer,False,2,2,45,2
yokai,https://boardgamearena.com/gamepanel?game=yokai,False,2,4,9,3
sobek,https://boardgamearena.com/gamepanel?game=sobek,False,2,4,18,1
saintpoker,https://boardgamearena.com/gamepanel?game=saintpoker,False,2,5,12,3
dingosdreams,https://boardgamearena.com/gamepanel?game=dingosdreams,False,2,9,6,1
briscola,https://boardgamearena.com/gamepanel?game=briscola,False,2,4,11,1
haggis,https://boardgamearena.com/gamepanel?game=haggis,False,2,3,21,2
teatime,https://boardgamearena.com/gamepanel?game=teatime,False,2,4,10,1
secretmoon,https://boardgamearena.com/gamepanel?game=secretmoon,False,5,8,24,2
aknile,https://boardgamearena.com/gamepanel?game=aknile,False,2,5,18,1
